S/N,WORLD,STATUS,DESCRIPTION
16,Moonwood Mill,Not Started,"Run by werewolves, built for werewolves, and deeply unbothered by what anyone else thinks about that. True form is normal here, pack loyalty runs deeper than most blood ties, and the only currency that matters is strength and respect. The howls at night are less menacing once you understand they're just the neighbours saying goodnight.
"
17,Mt Komorebi,Not Started,"The mountain asks something of everyone who lives beneath it, discipline, respect, presence. Mt. Komorebi is a place with structural tradition. Community life is tight-knit, and the people who protect this place do so with the kind of authority that doesn't need to announce itself. The Simkuza runs things here. The mountain approves."
18,Newcrest,Active,"Newcrest is where everyday life happens behind the scenes, offices, schools, parks, and public spaces built where nothing used to be able to grow. It wasn't always liveable here, and in some ways it still isn't, just for different reasons now. Sims may not call it home, but they pass through often to learn, work, argue, relax, and get on with life."
19,Nordhaven,Not Started,"Salt air and studio light, fishing docks and gallery openings, Nordhaven holds both without apology. Gammelvik trades in old money and art world credibility while Iverstad gets its hands dirty and calls it craft. The two sides of the city don't compete exactly, they just maintain a very polite, very productive rivalry that has been going on long enough to become tradition."
20,Oasis Springs,Active,"The desert doesn't give anything away easily, and neither does Oasis Springs. Mansions and motels occupy the same sun-scorched postcode, fortunes move through private courtyards after dark, and the gap between those who made it and those still trying is wide enough to get lost in. Oasis Springs never forgets who the desert made rich."
21,Ondarion,Not Started,"The regal Kingdom of Ondarion takes its name from the emerald sea that unites its three great shores. It is upon these same coastlines that three distinct cultures, connected by one sea, live together and exchange traditions. Together they have forged a grand legacy of Nobility and aristocratic Dynasties, which has lasted for countless generations. To this day the Nobles of Ondarion duel each other through political plays and battles of succession, in the race to the ultimate goal: the Kingdom's Royal Crown."
22,Ravenwood,Not Started,"The living and the dead share Ravenwood in the kind of uneasy, comfortable coexistence that only comes from long practice. Cemeteries outnumber caf�s, ghosts outnumber tourists, and the Reaper's office has a waiting list. Strange families have made their home here for generations, and the town has quietly shaped itself around them, eerie, peaceful, and not entirely of this world."
23,San Myshuno,Not Started,"Every neighbourhood has its own heartbeat and San Myshuno has never once tried to sync them. Murals, markets, festivals, and a skyline that changes mood by the hour, this city moves too fast to stand still and too loud to be ignored. The famous live here beside the entirely ordinary, and somehow both feel at home. San Myshuno doesn't ask where you're from. It only cares what you bring."
24,San Sequoia,Not Started,"Three neighbourhoods, one city, and the collective understanding that a good life is built in the details. Anchorpoint Wharf hums with dockside energy and library quiet, Gilbert Gardens runs on caf� culture and community events, and Hopewell Hills sits above it all in leafy, unhurried calm. San Sequoia isn't trying to be anything other than what it is, a city that got the balance right and knows it.
"
25,Selvadorada,Not Started,"Jungle roots, ancient stone, and music spilling out of every doorway whether you asked for it or not. Selvadorada is older than any of the families that call it home, and the temples rising above the canopy know it. Expeditions head in, discoveries come out, and somewhere in the undergrowth something shifted. It does that sometimes. Best not to dwell on it."
26,Strangerville,Not Started,"A town unknowingly caught in science fiction. The streets are too quiet, the air a little too still, and the people? Off. Ranch homes sit near abandoned military buildings, and the diner coffee is served with a side of suspicion. The lab on the edge of town has a name that's been redacted on every official document. Whatever's in there, the locals have stopped asking, which is either wisdom or a symptom. Hard to say."
27,Sulani,Not Started,"A beautiful island paradise focused on nature, culture, and community. Sustainability and spirituality are core to its identity, just don't piss off any of the local merfol..... Uh, i mean common folk, REAL common everyday people, yeah"
28,Tartosa,Not Started,"Sunlight, vineyards, wedding venues, and the quiet understanding that love here is both a lifestyle and a business. Tartosa hosts the kind of celebrations people plan for years, presided over by vendors who have perfected the craft of joy-on-demand. The nectar is excellent. The weddings are beautiful. The gossip is Juicy, happy married life! Welcome to Tartosa"
29,Tomarang,Not Started,"River light through jungle canopy, botanical gardens that take the long way round, and a beach bar that stays open past the point of good decisions. Tomarang is lush and unhurried in the way that only warm places can be, built around water, open air, and the kind of evenings that make you forget you had somewhere else to be."
30,Willow Creek,Active,"Willow Creek didn't always look like this. Tree-lined streets and church bells weren't always the story. Once it was closer to the gutter than the garden, haunted by crime and a string of strange deaths that shook everything loose. It rebuilt itself from that, slowly, into something that looks like safety and Sunday afternoons on the porch. Familiarity is both comfort and a curse here, timeless in all the best and worst ways... or so it seems."
31,Windenburg,Not Started,"Every Sim ends up in Windenburg eventually, for a drink, a dance, or a moment they�ll pretend to forget. Caf�s hum, crowds gather, and parties light the Bluffs while the ruins echo with laughter. From its ivy-wrapped estates to its neon corners, Windenburg is the heartbeat of Sim society, where history and nightlife keep perfect time."
,,,
,,,
,Row Labels,Count of STATUS,
,Active,2,
,Almost Complete,2,
,Complete,3,
,Planned,6,
,Started,4,
,Not Started,13,
,Grand Total,30,
